GVKEY,LINKPRIM,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,conm,tic
001013,P,LU,50906,2902,1979-03-16,2010-12-31,ADC TELECOMMUNICATIONS INC,ADCT.1
001034,P,LC,65832,20007,1984-02-15,2008-12-29,ALPHARMA INC  -CL A,ALO.2
001045,P,LC,21020,20010,2013-12-09,E,AMERICAN AIRLINES GROUP INC,AAL
001045,P,LC,21020,20010,1962-01-31,2012-01-04,AMERICAN AIRLINES GROUP INC,AAL
001045,C,LC,21020,20010,1950-01-01,1962-01-30,AMERICAN AIRLINES GROUP INC,AAL
001056,C,LC,62500,336,1973-07-01,1977-06-29,AEROFLEX INC,ARXX
001056,P,LC,62500,336,1977-06-30,2007-08-15,AEROFLEX INC,ARXX
001072,C,LC,81912,30930,1995-08-15,2020-03-27,AVX CORP,AVX.1
001075,P,LU,27991,21409,1962-01-31,E,PINNACLE WEST CAPITAL CORP,PNW
001076,J,LC,10517,5674,1993-01-01,2010-11-30,PROG HOLDINGS INC,PRG
001076,P,LC,10517,5674,2010-12-01,E,PROG HOLDINGS INC,PRG
001076,N,LC,78049,5674,1992-11-03,1992-12-31,PROG HOLDINGS INC,PRG
001076,J,LC,78049,5674,2010-12-01,2010-12-10,PROG HOLDINGS INC,PRG
001076,P,LC,10517,5674,1982-11-04,1992-12-31,PROG HOLDINGS INC,PRG
001076,P,LC,78049,5674,1993-01-01,2010-11-30,PROG HOLDINGS INC,PRG
001078,P,LC,20482,20017,1962-01-31,E,ABBOTT LABORATORIES,ABT
001078,C,LC,20482,20017,1950-01-01,1962-01-30,ABBOTT LABORATORIES,ABT
001111,C,LC,79678,12499,1993-10-22,2008-07-09,ACTIVISION INC,ATVI.1
001161,P,LU,61241,211,1972-12-14,E,ADVANCED MICRO DEVICES,AMD
001164,P,LC,90284,45424,2004-07-14,2006-01-06,MCI INC,MCIP
001164,P,LC,11042,61,1986-08-22,2002-07-29,MCI INC,MCIP
001164,P,LC,11042,61,1980-11-24,1986-07-28,MCI INC,MCIP
001177,P,LC,88845,41072,2000-12-14,2018-11-30,AETNA INC,AET
001209,P,LC,28222,20030,1962-01-31,E,AIR PRODUCTS & CHEMICALS INC,APD
001213,P,LU,51721,20031,1971-01-05,2003-08-15,AIRBORNE INC,ABF
001230,P,LU,28804,20035,1966-01-31,E,ALASKA AIR GROUP INC,ALK
001239,P,LC,42083,8127,1965-06-11,2011-05-10,ALBERTO-CULVER CO,ACV.1
001240,P,LU,50032,20038,1970-02-10,2006-06-30,ALBERTSON'S INC,ABS.1
001246,P,LU,48514,20040,1969-06-16,2008-10-31,IKON OFFICE SOLUTIONS,IKN
001254,P,LU,11691,157,1972-12-14,E,MATSON INC,MATX
001274,P,LC,71271,20043,1987-01-30,2022-10-31,ALLEGHANY CORP,Y
001279,P,LU,10137,20045,1962-01-31,2011-02-28,ALLEGHENY ENERGY INC,AYE
001279,C,LU,10137,20045,1951-01-01,1962-01-30,ALLEGHENY ENERGY INC,AYE
001300,P,LC,10145,22168,1962-01-31,E,HONEYWELL INTERNATIONAL INC,HON
